stress	estrés
well-being	bienestar
dictator	dictador
asinine	asnal
gains	prima
quack	charlatán
stimulative	estimulante
balk	obstáculo
friction	fricción
fussy	quisquilloso
strong	fuerte
modest	modesto
limp	cojear
deceptively	engañosamente
despairingly	desesperadamente
depraved	depravado
monstrously	monstruosamente
bothering	molesto
deceivers	engañadores
indiscriminately	indiscriminadamente
harasses	acose
imaginary	imaginario
commendable	recomendable
darkened	oscurecido
gruff	brusco
scratchy	chirriante
procrastinate	aplazar
moribund	moribundo
bonuses	bonificaciones
blistering	abrasador
maliciousness	malicia
liberty	libertad
merciless	despiadado
disown	repudiar
heartfelt	cordial
downturn	recesión
elimination	eliminación
desirable	deseable
judders	vibra
sincerely	sinceramente
tangle	maraña
disavow	desautorizar
horde	horda
overture	obertura
evils	males
intimidate	intimidar
suppress	suprimir
disappointment	decepción
famous	famoso
cheat	engañar
precariously	precariamente
screw-up	tornillo-up
saintliness	santidad
polemize	polemizar
jeering	burlas
backbiting	murmuración
astounded	asombrado
wound	herida
mockeries	burlas
cruelties	crueldades
haywire	loco
recourses	recursos
peevish	malhumorado
bias	parcialidad
pleas	súplicas
advantageous	ventajoso
bewilderment	asombro
destructive	destructivo
lies	mentiras
cooperatively	cooperativamente
attractively	atractivamente
suspect	sospechoso
whoa	hala
calumniation	calumnia
irrationality	irracionalidad
assuredly	ciertamente
unsettled	inestable
upsetting	molesto
frictions	fricciones
vomit	vómito
imperious	imperioso
deteriorating	deterioro
stylishly	elegantemente
detachable	desmontable
agile	ágil
uncooperative	incooperativo
tense	tenso
confined	confinado
deceitfulness	engaño
writhe	retorcerse
disorder	trastorno
famously	famosamente
blissfully	felizmente
enraged	enfurecido
intelligence	inteligencia
contravene	infringir
frazzled	agotado
supurb	increíble
remarkably	extraordinariamente
deign	dignarse
overact	sobreactuar
loathsomely	repugnantemente
stun	aturdir
keen	humos
corrosive	corrosivo
smug	presumido
dauntless	impávido
abominably	abominablemente
stumped	sacado
harassment	acoso
delectable	deleitable
efficiently	eficientemente
critics	críticos
unseemly	impropio
retreat	retiro
whoooa	hala
exasperation	exasperación
hectic	frenético
funny	divertido
endearing	entrañable
easygoing	acomodadizo
stumps	tocones
protection	protección
inconceivably	inconcebiblemente
languish	languidecer
ineffectiveness	inoperancia
refusing	negándose
mendacity	mendacidad
manageable	manejable
insult	insulto
despondent	abatido
forswear	abjurar
amazingly	asombrosamente
trump	triunfo
complex	complejo
chaste	casto
shameful	vergonzoso
fertile	fértiles
admonition	advertencia
seething	hirviente
fondness	afición
lurid	espeluznante
stimulates	estimula
shamelessness	desvergüenza
losses	pérdidas
dawdle	holgazanear
appreciative	apreciativo
demonized	demonizado
slow	lento
hazy	brumoso
screwy	absurdo
convenience	conveniencia
unable	incapaz
overstate	exagerar
lazy	perezoso
unresponsive	insensible
fanatic	fanático
picky	exigente
mocked	burlado
demoralize	desmoralizar
irreconcilable	irreconciliable
ecstatically	éxtasis
hardy	resistente
greatness	grandeza
hypocritical	hipócrita
energetic	energético
flutter	aleteo
regretted	lamentar
caustic	cáustico
tediously	tediosamente
soreness	dolor
loot	botín
wretch	desgraciado
displeased	disgustado
degrade	degradar
wobbles	bamboleos
haggard	ojeroso
mystify	mistificar
banishment	destierro
avidly	ávidamente
subpoena	citación
malaise	malestar
disdained	desdeñado
self-sufficient	autosuficiente
sluggish	lento
contemptuous	despreciativo
detested	detestado
scams	estafas
intuitive	intuitivo
patronize	patrocinar
deploring	deplorando
ramshackle	desvencijado
cloud	nube
stereotypical	estereotipada
fallacious	erróneo
discrepant	discrepante
crack	grieta
knife	cuchillo
unconditional	incondicional
obsession	obsesión
lacked	carecido
incoherence	incoherencia
implication	implicación
reforming	reformando
prefer	preferir
thrift	ahorro
treason	traición
altruistic	altruista
incomprehension	incomprensión
devilry	diablura
haggle	regatear
traumatically	traumáticamente
groundbreaking	innovador
substandard	deficiente
inefficacy	ineficacia
alluringly	seductoramente
euphoria	euforia
disaffirm	testar
involuntary	involuntario
impudent	impudente
mangle	exprimidor
regress	retroceder
goofy	mentecato
deformed	deformado
frantically	frenéticamente
poeticize	poetizar
misguided	equivocado
inflammation	inflamación
disorient	desorientar
hug	abrazo
liar	mentiroso
terribleness	terribilidad
plague	plaga
matte	mate
frenetically	frenéticamente
joy	alegría
sack	saco
disparaging	despectivo
ingenuously	ingenuamente
contend	contender
autocratic	autocrático
weakening	debilitación
enticing	tentador
astutely	astutamente
idealize	idealizar
mischievously	maliciosamente
collapse	colapso
muddle	embrollo
fastidiously	fastidiosamente
convoluted	complejo
lackey	lacayo
dump	vertedero
contentious	contencioso
drips	goteos
desiccated	desecado
stainless	inoxidable
pride	orgullo
sardonically	sardónicamente
garbage	basura
disunity	desunión
dumb	mudo
malevolent	malévolo
fiend	demonio
repulsed	repelido
congenial	agradable
condemn	condemi
illusion	espejismo
clash	choque
intelligible	inteligible
nuisance	molestia
sweeten	dulce
irredeemable	irredimible
wearisome	aburrido
incredulous	incrédulo
flake	escama
sturdy	robusto
wariness	cautela
hospitable	hospitalario
choleric	colérico
exasperated	exasperada
immoral	inmoral
irately	airadamente
amenity	amenidad
brutalizing	embrutecedor
enlighten	iluminar
punch	ponche
mind-blowing	alucinante
ill-mannered	maleducado
deceitfully	engañosamente
pains	esfuerzos
clears	ocurre
remorse	remordimiento
fuss	bulla
concessions	concesiones
fanatically	fanáticamente
worsening	empeoramiento
retract	retraer
vicious	vicioso
healthy	saludable
condemns	condena
wow	sorprender
scarily	aterradoramente
complicit	complicita
job-killing	trabajo-matanza
muddy	fangoso
bumping	chocar
magnanimously	magnánimamente
miserly	avaro
receptive	receptivo
misunderstanding	malentendido
pariah	paria
sorry	triste
restriction	restricción
plunder	saqueo
distressing	angustioso
innovative	innovador
vice	vicio
idiocy	idiotez
thoughtful	pensativo
gossip	chismes
intrusive	intruso
oddities	rarezas
taboo	tabú
delighted	encantado
dense	compacto
promises	promesas
frustrated	frustrado
fabulously	fabulosamente
shrill	estridente
revengeful	vengativo
pry	palanca
plaything	juguete
fat	grasa
selective	selectivo
appropriate	apropiado
dejected	abatido
self-humiliation	auto-humillación
remorselessness	implacabilidad
unexpectedly	inesperadamente
slander	difamación
satisfied	satisfecho
appealing	atractivo
atrocities	atrocidades
battered	maltratadas
renewed	renovado
damper	apagador
vent	respiradero
diplomatic	diplomático
eminence	eminencia
twist	torcedura
omission	omisión
sumptuously	suntuosamente
flawed	defectuoso
uncompromising	intransigente
scratch	rasguño
refute	refutar
strained	tenso
bombastic	rimbombante
rotten	podrido
stark	rígido
successes	éxitos
unimaginable	inimaginable
squealing	chillido
rivalry	rivalidad
sporadic	esporádico
scornfully	desdeñosamente
interests	intereses
sensible	sensato
infallibly	infaliblemente
defamations	difamaciones
proactive	proactivo
pleasingly	agradablemente
attractive	atractivo
obscures	oscurece
scarred	cicatrizado
demoralizing	desmoralizador
rejoice	alegrarse
expel	expulsar
iniquitous	inicuo
wealthy	rico
petrify	petrificar
impolite	descortés
inconveniently	inconvenientemente
bloated	hinchado
blameworthy	censurable
junk	basura
tempt	tentar
vengefully	vengativamente
hegemony	hegemonía
calamitously	horriblemente
right	derecho
disdainful	desdeñoso
coherent	coherente
inflame	inflamar
impatience	impaciencia
stunningly	sensacionalmente
unjust	injusto
belittling	menosprecio
youthful	juvenil
subvert	subvertir
negatives	negativos
revitalize	revitalizar
amity	amistad
endorses	respalda
apathetic	apático
susceptible	probablemente
allergy	alergia
traumatic	traumático
dubiously	dudosamente
dazed	aturdido
generous	generoso
impossibly	imposiblemente
aspersions	aspersiones
anti-israeli	anti-israelí
delightful	encantador
immense	inmenso
golden	dorado
vindictive	vengativo
defeats	derrotas
startle	asustar
loophole	escapatoria
pandering	proxenetismo
tremendously	tremendamente
urgent	urgente
talent	talento
greasy	grasiento
dawn	amanecer
unaffordable	inasequible
curses	maldiciones
upliftment	inspiración
inanely	estúpidamente
mighty	poderoso
audaciousness	audacia
totalitarian	totalitario
thank	agradecer
disrespectfully	irrespetuosamente
courageously	valientemente
brilliantly	brillantemente
guilty	culpable
ill-advised	desaconsejado
prisoner	prisionero
skeptically	escepticismo
lucky	afortunado
unfriendly	hostil
stodgy	pesado
conspicuous	conspicuo
chunky	fornido
denying	negando
lawbreaker	transgresor
unreachable	inalcanzable
bearish	bajista
friggin	puto
majesty	majestad
deter	disuadir
decrepit	decrépito
tyrant	tirano
stern	popa
naughty	travieso
excellent	excelente
scandalously	escandalosamente
rot	podredumbre
flagrantly	notoriamente
expansive	expansivo
favorited	favorito
disproportionate	desproporcionado
anti-social	antisocial
clever	inteligente
hassle	molestia
respectable	respetable
misgivings	recelos
interferes	interfiere
downgrade	degradar
passionately	apasionadamente
frustrating	frustrante
reprimand	reprimenda
unuseable	inutilizable
grainy	granoso
break-ups	rupturas
sorrow	dolor
tin-y	estaño-y
wieldy	manejable
unrelentingly	implacablemente
shroud	mortaja
soapy	jabonoso
shimmering	reluciente
tranquility	tranquilidad
marvellous	maravilloso
cliche	cliché
impudence	impudencia
inexperienced	despistados
recession	recesión
fondly	afectuosamente
humour	humor
unforeseen	contingencias
stooge	secuaz
maniac	maníaco
unsteadiness	inestabilidad
poisonous	nocivo
outwit	burlar
lackadaisical	lánguido
irrelevance	irrelevancia
mania	manía
doom	perdición
despicably	vilmente
arbitrary	arbitrario
proficient	competente
pleasing	agradable
offensive	ofensiva
glad	contento
gullible	crédulo
detrimental	perjudicial
shocked	conmocionado
evaluative	evaluativo
streaky	entreverado
speedily	rápidamente
doubts	dudas
invidious	injusto
afflict	afligir
mysteriously	misteriosamente
snobbish	snob
triumphantly	triunfantemente
downside	desventaja
reclaim	reclamar
menial	servil
pander	alcahuete
measly	miserable
chagrin	disgusto
freezing	congelación
severe	grave
unraveled	desentrañado
effusiveness	efusividad
damn	maldito
stains	manchas
blasphemy	blasfemia
stuttering	tartamudeo
strangely	extrañamente
creak	crujido
foolishness	necedad
blasted	maldito
hardship	privación
inconsiderately	desconsideradamente
wisdom	sabiduría
zapped	zapping
distinction	distinción
loses	pierde
wrinkle	arruga
resentment	resentimiento
humility	humildad
misunderstood	malinterpretado
avariciously	avariciosamente
oblique	oblicuo
aghast	espantado
meanness	mezquindad
wrath	ira
misses	pierde
burned	quemado
sticky	pegajoso
irrationals	irracionales
commend	encomendar
rue	ruda
flair	instinto
randomly	azar
bleed	sangrar
trivially	trivialmente
aspiration	aspiración
lacking	carente
vomited	vomitado
2-faces	2-caras
fake	falso
maddening	enloquecedor
sidetracked	desviarse
ignorant	ignorante
accessable	accesible
humiliation	humillación
intrusion	intrusión
adventuresome	aventurero
stiffness	rigidez
complacent	complaciente
arrogant	arrogante
inexpert	inexperto
faint	débil
vouch	atestiguar
troublesome	molesto
standout	destacado
instable	inestable
trash	basura
conceit	presunción
hallucination	alucinación
bullshit	mierda
crashes	accidentes
huckster	mercachifle
eagerness	afán
disloyal	desleal
complain	quejarse
argumentative	discutidor
ergonomical	ergonómico
smack	golpe
easing	aliviando
upset	trastorno
aborted	abortado
thorny	espinoso
traduce	difamar
oddly	extrañamente
excel	sobresalir
prick	pinchazo
blurry	borrosa
disturbingly	perturbadoramente
steal	robar
dripping	goteo
exterminate	exterminar
pessimism	pesimismo
agonizingly	agonizantemente
inconsistent	inconsistente
fatalistically	fatalistamente
sneer	burla
rejuvenated	rejuvenecido
reassure	tranquilizar
unnerved	enervado
discredit	desacreditar
lavish	pródigo
gangster	gángster
glut	superabundancia
ambitiously	ambiciosamente
squash	calabacín
counter-productive	contraproducente
importunate	importuno
illuminating	iluminador
grating	rejilla
blandish	ablandar
soundness	solvencia
reverently	reverentemente
incautious	incauto
enhances	mejora
commendably	encomiable
inactive	inactivo
bonus	prima
enraging	enfurecedora
derisively	burlonamente
resurgent	resurgente
bungling	torpeza
dignified	digno
difficulties	dificultades
dissembler	disimulador
undermined	minado
grievous	grave
incapable	incapaz
disastrous	desastroso
spoil	estropear
emergency	emergencia
glory	gloria
instructive	instructivo
cheap	barato
adjustable	ajustable
melodramatic	melodramático
baffle	deflector
squeaky	chirriante
disquietingly	inquietante
jealous	celoso
whooa	hala
sadden	entristecer
elevate	elevar
exploitation	explotación
infest	infestar
whining	gimoteo
terrifically	estupendamente
cherished	querido
eye-catching	llamativo
belie	desmentir
superfluous	superfluo
harrow	grada
negate	negar
desperation	desesperación
ruin	ruina
spectacular	espectacular
distrust	desconfianza
usable	utilizable
compact	compacto
dissatisfies	ordissatisfies
shortness	falta
fatally	fatalmente
prettily	bonitamente
charmingly	encantadoramente
impurity	impureza
deterioration	putrefacción
harangue	arenga
denied	negado
impede	impedir
slashing	roza
mistake	error
optimism	optimismo
denial	negación
exceed	exceder
gifted	dotado
waning	menguante
beauteous	hermoso
disintegrates	desintegra
wobbled	tambaleado
exploit	explotar
scarcity	escasez
tension	tensión
selfish	egoísta
manic	maníaco
illuminate	iluminar
honoring	homenaje
sadness	tristeza
excoriate	excoriar
haughty	altivo
sly	astuto
amiss	mal
bewildering	desconcertante
discomfort	dolor
reverence	reverencia
pillage	saqueo
disintegration	desintegración
serene	sereno
revolting	repugnante
paradoxical	paradójico
mobster	gángster
heartwarming	reconfortante
denunciate	denunciar
gratified	gratificado
courtly	cortés
positive	positivo
integral	exhaustivo
frustration	frustración
conciliatory	conciliador
commiserate	compadecer
noxious	nocivo
debility	debilidad
exhort	exhortar
snub	desaire
endorsing	endosar
waste	residuos
impeach	procesar
ghetto	gueto
infidels	infieles
detraction	detracción
monster	monstruo
reticent	reticente
saintly	santo
